"","Accession","organism_name","taxid","label","avgIntensity","proportion","nMCB","n","gene"
"198","000414525.1","Gardnerella vaginalis JCP8108",1261066,"GCA_000414525.1_ASM41452v1.fna.gz",0,0,0,NA,0
"199","000414565.1","Gardnerella vaginalis JCP8066",1261064,"GCA_000414565.1_ASM41456v1.fna.gz",0,0,0,NA,0
"200","000414585.1","Gardnerella vaginalis JCP8017B",1261063,"GCA_000414585.1_ASM41458v1.fna.gz",0,0,0,NA,0
"201","000414605.1","Gardnerella vaginalis JCP8017A",1261062,"GCA_000414605.1_ASM41460v1.fna.gz",0,0,0,NA,0
"202","000414625.1","Gardnerella vaginalis JCP7719",1261061,"GCA_000414625.1_ASM41462v1.fna.gz",0,0,0,NA,0
"203","000414645.1","Gardnerella vaginalis JCP7672",1261060,"GCA_000414645.1_ASM41464v1.fna.gz",0,0,0,NA,0
"204","000414665.1","Gardnerella vaginalis JCP7659",1261059,"GCA_000414665.1_ASM41466v1.fna.gz",0,0,0,NA,0
"205","000414685.1","Gardnerella vaginalis JCP7276",1261058,"GCA_000414685.1_ASM41468v1.fna.gz",0,0,0,NA,0
"206","000414705.1","Gardnerella vaginalis JCP7275",1261057,"GCA_000414705.1_ASM41470v1.fna.gz",0,0,0,NA,0
"207","000466465.2","Clostridium KLE 1755",1226325,"GCA_000466465.2_ASM46646v2.fna.gz",0,0,0,NA,0
"208","000466485.1","[Clostridium] symbiosum ATCC 14940",411472,"GCA_000466485.1_ASM46648v1_genomic.fna.gz",0,0,0,NA,0
"209","000466545.1","Bifidobacterium breve JCP7499",1261072,"GCA_000466545.1_ASM46654v1.fna.gz",4004.64896439286,0.5,14,1,1
"210","000466585.1","Clostridiales F0540",1321778,"GCA_000466585.1_ASM46658v1.fna.gz",406.238178571429,0.0357142857142857,1,NA,0
"211","000467855.2","Porphyromonas W7784",1227272,"GCA_000467855.2_ASM46785v2.fna.gz",0,0,0,NA,0
"212","000478805.1","Propionibacterium acidifaciens F0233",553198,"GCA_000478805.1_PacidF0233v2.0.fna.gz",0,0,0,NA,0
"213","000478945.1","Peptoniphilus BV3AC2",1111133,"GCA_000478945.1_CspBV3AC2v1.0.fna.gz",0,0,0,NA,0
"214","000507825.1","Prevotella nigrescens CC14M",1073366,"GCA_000507825.1_Prev_nigr_CC14M_V1.fna.gz",0,0,0,NA,0
"215","000513015.1","Bifidobacterium MSTE12",1161409,"GCA_000513015.1_BspMSTE12v1.0.fna.gz",2302.87560728571,0.25,7,1,1
"216","000517705.1","Fusobacterium CM21",936562,"GCA_000517705.1_FspCM21v1.0.fna.gz",0,0,0,NA,0
"217","000524395.1","Fusobacterium CM22",936563,"GCA_000524395.1_FspCM22v1.0.fna.gz",0,0,0,NA,0
"218","000759045.1","Prevotella bivia DNF00188",1287476,"GCA_000759045.1_04_NF_x40_HMP1651v01.fna.gz",0,0,0,NA,0
"219","000759145.1","Peptoniphilus lacrimalis DNF00528",1401070,"GCA_000759145.1_04_NF40_HMP2134v01.fna.gz",0,0,0,NA,0
"220","000759165.1","Prevotella bivia DNF00650",1401072,"GCA_000759165.1_04_NF40_HMP2136v01.fna.gz",0,0,0,NA,0
"221","000759205.1","Prevotella denticola DNF00960",1401077,"GCA_000759205.1_04_NF40_HMP2139v01.fna.gz",0,0,0,NA,0
"222","000759225.1","Prevotella disiens DNF00882",1401075,"GCA_000759225.1_04_NF40_HMP654v01.fna.gz",0,0,0,NA,0
"223","000759285.1","Veillonella montpellierensis DNF00314",1401067,"GCA_000759285.1_04_NF40_HMP872v01.fna.gz",0,0,0,NA,0
"224","000760655.1","Clostridium orbiscindens 1_3_50AFAA",742738,"GCA_000760655.1_Clos_orbi_1_3_50AFAA_V1.fna.gz",118.365982142857,0.0714285714285714,2,NA,0
"225","000763055.1","Collinsella 4_8_47FAA",742722,"GCA_000763055.1_Collinsella_sp_4_8_47FAA_V1.fna.gz",1556.15680978571,0.178571428571429,5,1,1
"226","001008755.1","Ligilactobacillus ruminis",1623,"GCA_001008755.1_ASM100875v1_genomic.fna.gz",28711.922,0.542857142857143,38,NA,0
"227","001025135.1","Bifidobacterium bifidum ATCC 29521 = JCM 1255 = DSM 20456",500634,"GCA_001025135.1_ASM102513v1_genomic.fna.gz",7321.14571428571,0.114285714285714,4,1,1
"228","001025155.1","Bifidobacterium angulatum DSM 20098 = JCM 7096",518635,"GCA_001025155.1_ASM102515v1_genomic.fna.gz",0,0,0,1,1
"229","001025215.1","Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 = LMG 10505",547043,"GCA_001025215.1_ASM102521v1_genomic.fna.gz",31168.658,0.457142857142857,16,1,1
"230","001049535.1","Bacteroides thetaiotaomicron",818,"GCA_001049535.1_3731_genomic.fna.gz",8026.15457142857,0.0857142857142857,3,1,1
"231","001314975.1","Bacteroides thetaiotaomicron",818,"GCA_001314975.1_ASM131497v1_genomic.fna.gz",8026.15457142857,0.0857142857142857,3,1,1
"232","001314995.1","Bacteroides ovatus",28116,"GCA_001314995.1_ASM131499v1_genomic.fna.gz",12397.6994285714,0.228571428571429,8,2,1
"233","002222595.2","Blautia hansenii DSM 20583",537007,"GCA_002222595.2_ASM222259v2_genomic.fna.gz",0,0,0,NA,0
"234","002234575.2","Enterocloster bolteae",208479,"GCA_002234575.2_ASM223457v2_genomic.fna.gz",2714.26142857143,0.142857142857143,5,NA,0
"235","003096415.1","Victivallis vadensis",172901,"GCA_003096415.1_ASM309641v1_genomic.fna.gz",0,0,0,NA,0
"236","008281175.1","[Clostridium] hylemonae DSM 15053",553973,"GCA_008281175.1_ASM828117v1_genomic.fna.gz",0,0,0,NA,0
"237","009707925.1","Blautia luti DSM 14534",649762,"GCA_009707925.1_ASM970792v1_genomic.fna.gz",1369.15457142857,0.0571428571428571,2,NA,0
"238","009831375.1","[Ruminococcus] gnavus ATCC 29149",411470,"GCA_009831375.1_ASM983137v1_genomic.fna.gz",31625.4971428571,0.457142857142857,16,1,1
"239","009832885.1","Escherichia coli K-12",83333,"GCA_009832885.1_ASM983288v1_genomic.fna.gz",0,0,0,NA,0
"240","010669225.1","Megamonas funiformis",437897,"GCA_010669225.1_ASM1066922v1_genomic.fna.gz",0,0,0,NA,0
"241","019597925.1","[Clostridium] scindens",29347,"GCA_019597925.1_ASM1959792v1_genomic.fna.gz",2362.03742857143,0.0857142857142857,3,1,1
"242","019597925.1","[Clostridium] scindens",29347,"GCA_019597925.1_ASM1959792v1_genomic.fna.gz",2362.03742857143,0.0857142857142857,3,1,1
"243","900537995.1","Roseburia intestinalis L1-82",536231,"GCA_900537995.1_Roseburia_intestinalis_strain_L1-82_genomic.fna.gz",3630.50628571429,0.228571428571429,8,NA,0
"244","900637705.1","Fusobacterium varium",856,"GCA_900637705.1_52451_E01_genomic.fna.gz",0,0,0,NA,0
